handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
germanyincmr,German Embassy in Cameroon,Cameroon,,,cameroon;germany,,,German Embassy in Cameroon,,dgm_vcstartup_mentioner,f52e057a7ba980b648ae4a5b31a96ef8,dgm_vcstartup_mentioner__f52e057a7ba980b648ae4a5b31a96ef8
italyinindia,Italian Embassy in India,India,,,india;italy,,,Italian Embassy in India,,dgm_vcstartup_mentioner,47e6120dd2e736522279ef9aa53d8041,dgm_vcstartup_mentioner__47e6120dd2e736522279ef9aa53d8041
alembnederland,Albanian Embassy in Netherlands,Netherlands,,,netherlands;albania,,,Albanian Embassy in Netherlands,,dgm_vcstartup_mentioner,7a9f1ddffcc4fe7ee829850555466223,dgm_vcstartup_mentioner__7a9f1ddffcc4fe7ee829850555466223
rusembassynl,Russian Embassy in Netherlands,Netherlands,,,netherlands;russia,,,Russian Embassy in Netherlands,,dgm_vcstartup_mentioner,1f887a71f53c565cb02f96117e8d4c49,dgm_vcstartup_mentioner__1f887a71f53c565cb02f96117e8d4c49
rtecanberra,Thai Embassy in Australia,Australia,,,australia;thailand,,,Thai Embassy in Australia,,dgm_vcstartup_mentioner,442bf8525d76368c60eaca6160ca4f7b,dgm_vcstartup_mentioner__442bf8525d76368c60eaca6160ca4f7b
nlinisrael,Dutch Embassy in Israel,Israel,,,israel;dutch,,,Dutch Embassy in Israel,,dgm_vcstartup_mentioner,ce44d5ca3f62a0279d5761a43030f56b,dgm_vcstartup_mentioner__ce44d5ca3f62a0279d5761a43030f56b
franceinsomalia,French Embassy in Somalia,Somalia,,,somalia;france,,,French Embassy in Somalia,,dgm_vcstartup_mentioner,8d02f58357a52a2ba46551369a71a54f,dgm_vcstartup_mentioner__8d02f58357a52a2ba46551369a71a54f
usembassybrazza,US Embassy in Congo,Congo,,,congo;united states,,,US Embassy in Congo,,dgm_vcstartup_mentioner,bc1e7b8eca6a9c527123c6941479e4ff,dgm_vcstartup_mentioner__bc1e7b8eca6a9c527123c6941479e4ff
finlandinegypt,Finnish Embassy in Egypt,Egypt,,,egypt;finland,,,Finnish Embassy in Egypt,,dgm_vcstartup_mentioner,9d274a7a1ce6edfab474e2512279a25c,dgm_vcstartup_mentioner__9d274a7a1ce6edfab474e2512279a25c
finisrael,Finnish Embassy in Israel,Israel,,,israel;finland,,,Finnish Embassy in Israel,,dgm_vcstartup_mentioner,26c542375374aa3773ae8dcd88c6b88a,dgm_vcstartup_mentioner__26c542375374aa3773ae8dcd88c6b88a
