handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
elainemgrossman,Defense reporter,CompanyKeyword,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
gameofschanz,Defense reporter,CompanyKeyword,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
garamonedodnews,Defense reporter,AAEntity,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ginaaharkins,Defense reporter,ForeignMinistry,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
hopeseck,Defense reporter,Keyphrase,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ibd_grich,Defense reporter,AAEntity,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
idreesali114,Defense reporter,Organization,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jackdetsch,Defense reporter,Keyphrase,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jacqklimas,Defense reporter,FTO,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jamesmartinrose,Defense reporter,AAEntity,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jamiejmcintyre,Defense reporter,CompanyKeyword,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jaredbkeller,Defense reporter,Wells,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jaysolomon,Defense reporter,Shipping,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jbdimascio,Defense reporter,Wells,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
jeffschogol,Defense reporter,LegislativeCommittee,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
