keyword,keyword_upper,caption_name,location,location_lower,type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
amy coney barrett,amy coney barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
amy barrett,amy barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
amy c. barrett,amy c. barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
amy c barrett,amy c barrett,US Supreme Court Justice Amy Coney Barrett,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Amy Coney Barrett,,dgm_SCOTUS,2f89781573d0f8e7bd2a99e0da52d244,dgm_SCOTUS__2f89781573d0f8e7bd2a99e0da52d244
clarencethomas,clarencethomas,US Supreme Court Justice Clarence Thomas,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Clarence Thomas,,dgm_SCOTUS,5a7f5f6e4988ee7e5fed84f35f0e0dd2,dgm_SCOTUS__5a7f5f6e4988ee7e5fed84f35f0e0dd2
justicethomas,justicethomas,US Supreme Court Justice Clarence Thomas,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Clarence Thomas,,dgm_SCOTUS,5a7f5f6e4988ee7e5fed84f35f0e0dd2,dgm_SCOTUS__5a7f5f6e4988ee7e5fed84f35f0e0dd2
soniasotomayor,soniasotomayor,US Supreme Court Justice Sonia Sotomayor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Sonia Sotomayor,,dgm_SCOTUS,e73da9aa47856a7d93b9d1a0073cf532,dgm_SCOTUS__e73da9aa47856a7d93b9d1a0073cf532
brettkavanaugh,brettkavanaugh,US Supreme Court Justice Brett Kavanaugh,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Brett Kavanaugh,,dgm_SCOTUS,245a450eefe1545ad6cf669a15e15b8b,dgm_SCOTUS__245a450eefe1545ad6cf669a15e15b8b
brettmkavanaugh,brettmkavanaugh,US Supreme Court Justice Brett Kavanaugh,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Brett Kavanaugh,,dgm_SCOTUS,245a450eefe1545ad6cf669a15e15b8b,dgm_SCOTUS__245a450eefe1545ad6cf669a15e15b8b
anthonymkennedy,anthonymkennedy,US Supreme Court Justice Anthony Kennedy,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Anthony Kennedy,,dgm_SCOTUS,2f82786500840ae9b6c69f2ffe8e920b,dgm_SCOTUS__2f82786500840ae9b6c69f2ffe8e920b
anthonykennedy,anthonykennedy,US Supreme Court Justice Anthony Kennedy,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Anthony Kennedy,,dgm_SCOTUS,2f82786500840ae9b6c69f2ffe8e920b,dgm_SCOTUS__2f82786500840ae9b6c69f2ffe8e920b
justicesotomayor,justicesotomayor,US Supreme Court Justice Sonia Sotomayor,Washington,washington,US Supreme Court,,188285,,UsSupremeCourt,US Supreme Court Justice Sonia Sotomayor,,dgm_SCOTUS,e73da9aa47856a7d93b9d1a0073cf532,dgm_SCOTUS__e73da9aa47856a7d93b9d1a0073cf532
